length_m,diameter_mm,installation_type,insulation_material,year_of_operation,pipeline_replacement
478.8,200,in_channel,polyurethane_foam,2021,yes
306.4,300,underground,mineral_wool,1985,yes
69.8,300,in_channel,foam_glass,1983,yes
360.8,200,in_channel,polyurethane_foam,1998,yes
302.8,250,above_ground,mineral_wool,2021,yes
216.1,150,in_channel,foam_glass,2018,yes
67.2,200,in_channel,foam_glass,2015,yes
219.3,250,above_ground,polyurethane_foam,2019,no
295.6,300,underground,polyurethane_foam,2022,no
219.6,250,above_ground,foam_glass,1982,yes
301.4,200,above_ground,polyurethane_foam,2001,no
115.3,250,in_channel,polyurethane_foam,2012,no
253.7,300,above_ground,foam_glass,2011,no
276.7,250,in_channel,polyurethane_foam,1992,yes
162.4,100,in_channel,foam_glass,2005,no
157.6,100,underground,foam_glass,1988,no
151.2,300,underground,foam_glass,2006,yes
128.5,100,above_ground,foam_glass,2010,yes
421.6,300,above_ground,foam_glass,2007,no
286.8,300,above_ground,foam_glass,2009,no
228.2,250,underground,polyurethane_foam,1988,yes
282.5,250,above_ground,foam_glass,2018,no
289.4,250,underground,foam_glass,1984,yes
54.0,150,in_channel,polyurethane_foam,2018,no
415.9,150,above_ground,foam_glass,1992,yes
409.7,200,underground,foam_glass,1982,yes
433.6,200,underground,foam_glass,2013,no
218.4,200,above_ground,polyurethane_foam,2013,no
371.2,100,underground,polyurethane_foam,1988,no
221.3,300,above_ground,mineral_wool,1999,yes
453.0,200,underground,mineral_wool,2004,yes
155.6,250,underground,mineral_wool,2022,no
79.8,150,in_channel,polyurethane_foam,1992,no
247.3,300,above_ground,mineral_wool,2002,no
411.0,150,above_ground,foam_glass,1982,yes
437.3,200,above_ground,foam_glass,1987,yes
167.8,150,underground,mineral_wool,2021,no
243.0,300,underground,foam_glass,1992,yes
410.8,300,in_channel,polyurethane_foam,2021,yes
360.2,250,in_channel,polyurethane_foam,1988,yes
486.9,250,above_ground,mineral_wool,1998,yes
480.0,150,in_channel,polyurethane_foam,1995,yes
216.1,100,above_ground,mineral_wool,1991,no
276.4,150,above_ground,polyurethane_foam,1987,yes
106.2,100,underground,polyurethane_foam,2022,yes
422.1,300,underground,mineral_wool,2017,no
87.1,200,underground,foam_glass,1997,no
242.2,200,in_channel,polyurethane_foam,1992,yes
113.6,200,above_ground,foam_glass,1989,yes
389.8,150,in_channel,mineral_wool,2007,yes
156.9,300,underground,polyurethane_foam,2018,yes
175.4,250,in_channel,polyurethane_foam,2017,no
79.2,200,above_ground,polyurethane_foam,2002,no
308.6,200,above_ground,foam_glass,1983,yes
239.8,200,underground,foam_glass,2023,yes
79.6,150,in_channel,mineral_wool,1998,yes
397.4,250,above_ground,mineral_wool,1986,yes
317.9,200,above_ground,mineral_wool,2019,yes
123.5,150,underground,polyurethane_foam,1985,no
77.2,250,above_ground,polyurethane_foam,2018,no
208.6,300,in_channel,foam_glass,2012,yes
379.8,200,in_channel,foam_glass,2003,no
470.6,100,underground,polyurethane_foam,1982,no
168.1,300,in_channel,polyurethane_foam,2019,no
191.4,150,in_channel,mineral_wool,1987,no
124.4,300,in_channel,foam_glass,2008,no
103.5,300,above_ground,foam_glass,1991,no
173.8,250,underground,foam_glass,1982,no
291.7,150,underground,polyurethane_foam,2005,yes
205.9,100,above_ground,polyurethane_foam,1980,yes
489.7,100,underground,mineral_wool,2016,no
194.8,100,above_ground,polyurethane_foam,2007,no
90.2,250,above_ground,polyurethane_foam,1986,no
465.8,200,underground,foam_glass,1984,yes
328.5,200,underground,mineral_wool,1989,yes
181.0,100,underground,foam_glass,1981,no
63.2,250,underground,polyurethane_foam,2008,no
393.4,100,above_ground,polyurethane_foam,2021,yes
253.3,300,above_ground,foam_glass,1982,yes
70.1,300,above_ground,foam_glass,1992,yes
380.2,150,underground,mineral_wool,1980,yes
482.2,100,underground,foam_glass,2018,yes
63.0,100,above_ground,mineral_wool,1993,no
134.6,100,in_channel,polyurethane_foam,1986,no
340.3,250,underground,foam_glass,2000,no
74.9,150,in_channel,polyurethane_foam,2018,yes
309.9,200,above_ground,polyurethane_foam,2011,no
213.6,300,in_channel,foam_glass,2022,no
399.8,300,in_channel,polyurethane_foam,1980,yes
80.8,150,above_ground,foam_glass,2011,no
437.7,300,above_ground,mineral_wool,2021,yes
434.1,100,in_channel,foam_glass,1988,no
417.8,250,underground,mineral_wool,2016,no
208.7,100,in_channel,foam_glass,1986,no
440.6,250,in_channel,foam_glass,2014,yes
67.7,300,underground,mineral_wool,2013,yes
350.1,200,above_ground,mineral_wool,2000,no
424.5,300,in_channel,mineral_wool,2023,no
281.1,250,underground,polyurethane_foam,1982,yes
74.3,300,underground,foam_glass,2006,no
276.3,250,above_ground,foam_glass,2014,yes
115.0,250,in_channel,foam_glass,1991,no
113.3,200,in_channel,mineral_wool,1984,no
327.5,300,underground,mineral_wool,2018,no
322.7,100,above_ground,mineral_wool,1992,no
176.6,300,in_channel,polyurethane_foam,2015,no
388.5,200,underground,foam_glass,2021,no
216.9,250,underground,polyurethane_foam,2018,no
234.9,250,in_channel,foam_glass,1984,no
129.0,100,above_ground,polyurethane_foam,2012,no
260.3,300,underground,mineral_wool,2012,yes
115.3,100,in_channel,foam_glass,2001,yes
214.1,200,in_channel,mineral_wool,1980,yes
221.9,200,underground,foam_glass,2023,no
344.9,250,in_channel,polyurethane_foam,2012,no
394.6,250,above_ground,mineral_wool,2016,no
139.4,250,in_channel,mineral_wool,2012,no
58.9,100,in_channel,mineral_wool,2011,no
427.7,250,in_channel,mineral_wool,2008,no
257.1,150,above_ground,mineral_wool,1984,yes
208.1,100,underground,foam_glass,1994,no
90.7,150,underground,mineral_wool,1986,no
336.0,200,above_ground,polyurethane_foam,2010,yes
320.4,300,above_ground,foam_glass,1993,yes
107.0,250,above_ground,foam_glass,1986,yes
464.7,300,underground,foam_glass,1999,yes
234.9,200,in_channel,mineral_wool,2006,no
203.3,100,in_channel,foam_glass,1981,yes
411.5,150,underground,polyurethane_foam,1994,yes
226.2,300,underground,mineral_wool,1983,no
490.5,100,above_ground,foam_glass,1982,yes
242.9,300,underground,mineral_wool,1988,no
227.6,150,in_channel,polyurethane_foam,1992,no
463.3,250,underground,mineral_wool,1982,yes
68.6,300,above_ground,foam_glass,2008,no
208.6,250,underground,mineral_wool,2009,no
300.3,200,underground,foam_glass,2006,no
232.2,150,above_ground,polyurethane_foam,1981,no
396.2,300,above_ground,mineral_wool,2008,no
151.0,200,in_channel,mineral_wool,2020,no
261.1,250,in_channel,foam_glass,2022,yes
229.7,250,underground,foam_glass,1981,no
78.4,150,in_channel,foam_glass,1996,no
497.9,300,in_channel,mineral_wool,1996,yes
392.2,200,above_ground,foam_glass,2012,no
357.9,150,above_ground,polyurethane_foam,1992,yes
400.0,200,above_ground,mineral_wool,2020,no
418.7,250,underground,foam_glass,1981,yes
91.3,150,underground,mineral_wool,1980,yes
322.0,250,underground,polyurethane_foam,1986,yes
481.0,150,above_ground,mineral_wool,1988,yes
83.9,100,above_ground,mineral_wool,2008,no
335.8,100,above_ground,polyurethane_foam,2000,no
497.7,250,in_channel,mineral_wool,2004,yes
391.5,100,above_ground,polyurethane_foam,2002,no
352.0,300,in_channel,polyurethane_foam,2000,yes
394.9,300,in_channel,foam_glass,1995,yes
306.3,200,underground,mineral_wool,2000,no
380.8,100,underground,foam_glass,2014,no
169.5,300,above_ground,foam_glass,1993,no
72.2,250,above_ground,foam_glass,2007,yes
350.7,250,in_channel,foam_glass,2006,no
192.2,250,in_channel,foam_glass,1983,yes
164.1,300,above_ground,polyurethane_foam,1983,no
310.6,100,above_ground,mineral_wool,2018,no
155.7,150,in_channel,mineral_wool,2003,no
91.7,250,above_ground,mineral_wool,1992,yes
311.3,200,underground,polyurethane_foam,1985,yes
346.7,150,in_channel,foam_glass,2018,yes
435.7,250,in_channel,mineral_wool,1989,yes
179.9,100,underground,mineral_wool,2013,no
71.6,250,underground,polyurethane_foam,2016,no
320.5,300,above_ground,mineral_wool,1980,yes
61.8,200,above_ground,foam_glass,1985,yes
274.4,300,in_channel,mineral_wool,2023,no
459.2,250,in_channel,mineral_wool,1992,yes
366.9,150,in_channel,mineral_wool,2020,yes
309.1,300,in_channel,foam_glass,2007,no
236.2,200,in_channel,foam_glass,2020,no
432.3,200,in_channel,foam_glass,2021,no
423.3,250,in_channel,polyurethane_foam,2017,no
91.1,300,underground,foam_glass,1995,no
322.0,250,above_ground,mineral_wool,1981,yes
466.7,150,above_ground,mineral_wool,2012,no
149.3,150,above_ground,polyurethane_foam,2011,no
394.5,250,in_channel,polyurethane_foam,2001,yes
311.7,100,underground,foam_glass,1982,yes
314.3,100,above_ground,mineral_wool,2014,no
173.4,100,above_ground,polyurethane_foam,1990,no
251.6,250,underground,polyurethane_foam,1997,yes
207.2,250,above_ground,mineral_wool,1981,no
489.7,100,in_channel,mineral_wool,2007,no
326.0,200,in_channel,foam_glass,1985,yes
283.5,100,above_ground,polyurethane_foam,1992,no
250.9,250,in_channel,mineral_wool,2015,yes
203.4,100,in_channel,mineral_wool,2014,yes
297.7,100,underground,mineral_wool,2008,yes
472.4,100,in_channel,mineral_wool,2014,yes
464.5,200,above_ground,mineral_wool,1982,yes
84.8,100,in_channel,foam_glass,1997,yes
125.5,100,above_ground,foam_glass,1982,yes
325.3,300,underground,foam_glass,2006,yes
147.2,150,in_channel,polyurethane_foam,1983,no
481.8,300,in_channel,foam_glass,1996,yes
452.3,250,underground,foam_glass,2000,no
273.8,150,underground,polyurethane_foam,2009,yes
435.1,150,underground,foam_glass,2017,yes
311.8,250,underground,foam_glass,2022,no
52.4,250,underground,polyurethane_foam,2000,no
300.7,250,in_channel,polyurethane_foam,2006,no
70.2,150,underground,mineral_wool,2014,no
199.8,300,above_ground,foam_glass,1997,no
451.4,300,in_channel,mineral_wool,1999,yes
459.6,250,underground,foam_glass,2006,no
432.5,200,in_channel,mineral_wool,1992,yes
454.4,150,above_ground,polyurethane_foam,1992,yes
491.8,150,underground,polyurethane_foam,2023,no
215.2,100,above_ground,foam_glass,1996,no
383.9,250,underground,foam_glass,1996,yes
374.5,200,underground,polyurethane_foam,2021,yes
336.8,300,underground,mineral_wool,2013,no
68.5,150,in_channel,foam_glass,2012,no
409.6,150,above_ground,foam_glass,2005,no
202.3,300,underground,polyurethane_foam,1994,no
214.1,150,underground,foam_glass,1987,yes
264.7,100,in_channel,mineral_wool,2006,no
424.8,150,above_ground,mineral_wool,2013,yes
423.3,200,underground,polyurethane_foam,2009,no
270.4,100,in_channel,mineral_wool,2008,no
288.4,200,above_ground,mineral_wool,2013,no
159.2,200,above_ground,polyurethane_foam,2009,no
415.3,150,underground,polyurethane_foam,1994,yes
246.6,100,in_channel,mineral_wool,2003,no
225.4,150,underground,polyurethane_foam,2022,yes
391.5,100,above_ground,foam_glass,1993,no
334.1,300,underground,polyurethane_foam,2021,no
378.6,300,above_ground,polyurethane_foam,1988,yes
285.0,150,underground,foam_glass,1998,yes
202.9,200,underground,foam_glass,2001,no
334.3,150,underground,foam_glass,2008,yes
85.1,100,in_channel,mineral_wool,1982,no
392.1,300,underground,polyurethane_foam,1982,yes
129.4,250,above_ground,mineral_wool,1986,yes
165.0,300,underground,polyurethane_foam,2017,no
123.7,100,above_ground,polyurethane_foam,2023,no
187.5,100,above_ground,foam_glass,2009,no
96.6,200,in_channel,foam_glass,1990,no
154.5,150,in_channel,foam_glass,2005,no
178.0,100,underground,foam_glass,2013,no
205.9,150,in_channel,mineral_wool,2014,yes
94.4,300,above_ground,foam_glass,1983,no
58.0,100,underground,mineral_wool,2023,no
52.4,200,in_channel,foam_glass,1985,no
206.6,300,above_ground,foam_glass,1982,no
88.9,250,above_ground,polyurethane_foam,2001,no
217.5,150,in_channel,foam_glass,2006,no
263.1,100,above_ground,foam_glass,2016,no
338.8,300,underground,foam_glass,2002,no
211.2,150,in_channel,mineral_wool,2021,yes
470.6,250,above_ground,mineral_wool,1980,yes
62.3,250,underground,foam_glass,1981,no
460.8,300,underground,foam_glass,2014,no
187.8,100,in_channel,foam_glass,1995,no
80.2,300,underground,mineral_wool,1997,no
347.7,200,underground,foam_glass,2014,yes
139.5,300,above_ground,polyurethane_foam,2013,yes
191.7,200,in_channel,foam_glass,2022,no
216.0,100,above_ground,foam_glass,1980,yes
499.4,300,in_channel,polyurethane_foam,1998,yes
396.9,250,above_ground,mineral_wool,1990,yes
426.6,300,above_ground,foam_glass,2006,no
296.8,100,above_ground,polyurethane_foam,2004,no
212.6,300,above_ground,foam_glass,2009,no
473.2,200,underground,foam_glass,2015,no
144.7,100,above_ground,mineral_wool,1986,yes
302.9,200,in_channel,foam_glass,2016,yes
369.6,100,in_channel,polyurethane_foam,1985,no
402.8,300,in_channel,foam_glass,2013,no
435.7,200,in_channel,polyurethane_foam,2015,no
334.4,100,in_channel,mineral_wool,2007,yes
84.3,100,underground,polyurethane_foam,1989,no
318.3,300,in_channel,mineral_wool,2010,no
211.7,100,underground,mineral_wool,1999,no
186.4,250,in_channel,mineral_wool,2016,no
285.6,250,in_channel,mineral_wool,2003,no
285.7,300,above_ground,mineral_wool,1997,yes
93.3,300,in_channel,foam_glass,2010,no
457.1,100,in_channel,foam_glass,2002,no
64.4,200,in_channel,foam_glass,2004,no
385.5,150,above_ground,polyurethane_foam,2009,no
360.6,200,above_ground,foam_glass,1981,yes
253.3,200,underground,mineral_wool,1988,yes
171.9,100,in_channel,mineral_wool,2007,yes
242.6,100,underground,foam_glass,1992,yes
301.0,150,above_ground,foam_glass,1991,yes
219.4,150,underground,mineral_wool,1994,no
195.1,300,in_channel,foam_glass,2004,no
139.1,150,underground,polyurethane_foam,1988,no
51.7,100,underground,mineral_wool,2022,no
465.1,150,above_ground,mineral_wool,2023,yes
176.9,250,underground,polyurethane_foam,1980,no
170.8,150,above_ground,foam_glass,1981,no
278.9,250,in_channel,foam_glass,2001,yes
264.8,300,underground,mineral_wool,1990,yes
363.2,150,underground,polyurethane_foam,2022,no
211.1,300,above_ground,foam_glass,1990,no
80.4,300,underground,foam_glass,1990,yes
376.9,150,above_ground,mineral_wool,1981,yes
119.7,300,underground,foam_glass,2004,yes
484.5,100,in_channel,polyurethane_foam,2022,no
331.6,250,above_ground,mineral_wool,1992,yes
78.8,150,above_ground,mineral_wool,1994,no
121.2,300,above_ground,polyurethane_foam,2014,yes
107.5,250,underground,mineral_wool,2019,no
490.1,150,underground,polyurethane_foam,1981,yes
100.5,150,underground,foam_glass,2021,no
342.2,250,underground,foam_glass,1984,yes
386.6,100,above_ground,mineral_wool,1995,no
77.0,250,in_channel,polyurethane_foam,1988,yes
403.0,250,underground,polyurethane_foam,2001,no
73.9,150,underground,foam_glass,1982,no
395.6,150,underground,foam_glass,2004,no
54.6,200,above_ground,polyurethane_foam,2000,no
147.5,200,underground,foam_glass,1984,no
496.0,100,above_ground,mineral_wool,2003,no
187.3,100,above_ground,polyurethane_foam,1988,no
452.0,200,in_channel,polyurethane_foam,2010,yes
428.5,150,above_ground,foam_glass,2019,no
385.9,300,in_channel,mineral_wool,2017,yes
337.8,200,above_ground,polyurethane_foam,2006,no
138.1,200,in_channel,polyurethane_foam,2005,no
96.3,100,above_ground,mineral_wool,1993,yes
497.1,300,in_channel,polyurethane_foam,2001,yes
440.5,300,above_ground,mineral_wool,2014,no
126.4,200,in_channel,polyurethane_foam,1987,yes
188.6,100,underground,foam_glass,1993,no
286.4,150,underground,polyurethane_foam,1993,yes
51.9,150,underground,foam_glass,2013,yes
61.4,150,above_ground,foam_glass,2010,yes
61.7,150,underground,polyurethane_foam,2015,no
428.1,100,in_channel,polyurethane_foam,1981,no
201.3,200,underground,foam_glass,1998,no
292.1,200,in_channel,polyurethane_foam,1988,yes
93.6,200,underground,mineral_wool,1983,no
414.6,150,in_channel,mineral_wool,2020,yes
324.1,100,above_ground,mineral_wool,2015,yes
234.5,100,in_channel,foam_glass,1983,no
428.6,250,underground,polyurethane_foam,2021,no
420.6,200,above_ground,foam_glass,2022,yes
178.9,300,underground,foam_glass,1993,yes
239.9,250,in_channel,mineral_wool,2010,no
194.1,150,above_ground,polyurethane_foam,1998,no
179.8,100,above_ground,foam_glass,1982,no
444.2,150,in_channel,polyurethane_foam,1989,yes
90.5,300,in_channel,mineral_wool,2016,no
58.6,150,in_channel,foam_glass,2019,yes
239.9,100,above_ground,polyurethane_foam,1994,yes
94.7,200,above_ground,mineral_wool,2004,no
212.1,150,in_channel,foam_glass,2018,no
304.1,200,underground,foam_glass,2018,no
268.1,300,in_channel,mineral_wool,2018,no
245.7,300,underground,polyurethane_foam,2018,no
491.3,300,underground,polyurethane_foam,1994,yes
416.8,200,in_channel,polyurethane_foam,1986,yes
328.3,300,in_channel,foam_glass,1980,yes
311.3,250,above_ground,mineral_wool,1985,yes
186.0,250,above_ground,polyurethane_foam,1990,no
122.6,300,underground,foam_glass,1998,no
273.3,300,above_ground,mineral_wool,2016,no
367.8,150,above_ground,mineral_wool,2011,no
248.7,300,above_ground,polyurethane_foam,1991,yes
219.1,100,above_ground,mineral_wool,2009,no
253.2,150,underground,foam_glass,1984,yes
208.1,100,underground,polyurethane_foam,2008,no
452.6,200,above_ground,foam_glass,1986,yes
76.1,250,underground,foam_glass,2004,no
378.7,100,underground,mineral_wool,1984,yes
150.9,200,in_channel,foam_glass,1988,no
478.8,150,underground,foam_glass,2008,no
416.6,250,in_channel,foam_glass,1980,yes
226.2,300,underground,mineral_wool,2014,yes
117.4,250,underground,foam_glass,1996,yes
410.3,250,in_channel,mineral_wool,1988,yes
356.4,200,underground,foam_glass,2003,no
287.6,300,in_channel,mineral_wool,2000,yes
285.1,100,above_ground,mineral_wool,1990,no
362.8,200,in_channel,foam_glass,2019,yes
307.5,250,underground,mineral_wool,1998,yes
454.5,150,underground,mineral_wool,1998,yes
180.4,250,in_channel,polyurethane_foam,2019,yes
186.3,250,underground,foam_glass,2005,yes
490.7,250,in_channel,mineral_wool,1987,yes
340.2,150,underground,foam_glass,2004,no
76.1,100,above_ground,polyurethane_foam,2004,yes
497.3,250,in_channel,polyurethane_foam,2002,no
121.8,250,in_channel,foam_glass,1992,yes
257.2,100,in_channel,foam_glass,1996,yes
78.6,150,underground,polyurethane_foam,2021,yes
179.8,200,in_channel,mineral_wool,1992,no
293.0,150,underground,polyurethane_foam,1996,yes
206.3,300,above_ground,polyurethane_foam,2012,yes
392.4,200,in_channel,polyurethane_foam,1989,yes
90.2,200,in_channel,polyurethane_foam,1993,yes
176.1,200,in_channel,mineral_wool,1999,no
423.4,300,above_ground,foam_glass,1984,yes
359.3,200,underground,polyurethane_foam,1983,yes
192.6,250,in_channel,polyurethane_foam,2006,yes
292.0,250,in_channel,foam_glass,1988,yes
499.6,100,above_ground,foam_glass,1989,no
364.4,250,underground,mineral_wool,2007,no
275.0,300,above_ground,polyurethane_foam,2006,no
57.5,100,above_ground,foam_glass,2016,no
303.4,150,above_ground,mineral_wool,1990,yes
289.6,200,underground,polyurethane_foam,2021,no
307.2,150,in_channel,polyurethane_foam,2003,no
159.8,150,in_channel,mineral_wool,1985,yes
158.0,100,underground,mineral_wool,1996,yes
82.2,150,in_channel,foam_glass,2011,no
189.0,250,in_channel,polyurethane_foam,2001,no
204.4,100,in_channel,polyurethane_foam,2021,no
319.0,200,underground,mineral_wool,2009,no
445.9,200,in_channel,foam_glass,1993,yes
440.6,200,above_ground,polyurethane_foam,2014,no
234.5,300,in_channel,polyurethane_foam,1990,no
352.5,150,underground,polyurethane_foam,1988,yes
103.4,200,above_ground,polyurethane_foam,2003,no
367.0,200,in_channel,polyurethane_foam,2002,no
226.2,100,underground,mineral_wool,1992,no
453.5,250,above_ground,mineral_wool,2001,no
58.7,250,above_ground,foam_glass,1982,no
328.9,100,in_channel,foam_glass,1991,no
341.8,250,underground,foam_glass,2014,yes
440.8,200,in_channel,foam_glass,1987,yes
445.2,300,in_channel,mineral_wool,2016,yes
136.6,250,above_ground,mineral_wool,1985,no
57.7,300,underground,mineral_wool,2019,yes
327.0,150,in_channel,polyurethane_foam,2009,yes
286.0,200,above_ground,foam_glass,1992,yes
135.3,300,in_channel,mineral_wool,1988,no
464.2,100,underground,mineral_wool,1982,no
404.9,300,in_channel,mineral_wool,1993,yes
415.2,200,in_channel,polyurethane_foam,1993,yes
456.7,150,in_channel,mineral_wool,2012,no
201.8,100,above_ground,polyurethane_foam,2018,no
243.4,150,in_channel,polyurethane_foam,1987,yes
378.2,300,in_channel,mineral_wool,1985,yes
53.6,300,above_ground,foam_glass,1993,yes
177.1,150,underground,mineral_wool,2017,yes
323.1,200,in_channel,mineral_wool,2007,no
476.4,100,above_ground,foam_glass,1983,yes
466.6,250,in_channel,mineral_wool,2013,no
269.6,300,above_ground,polyurethane_foam,1996,yes
393.3,250,underground,mineral_wool,1994,yes
447.3,200,above_ground,mineral_wool,1999,yes
312.2,200,underground,mineral_wool,2005,no
112.9,300,above_ground,polyurethane_foam,1998,no
224.5,150,above_ground,polyurethane_foam,2000,no
218.9,300,above_ground,foam_glass,1995,no
251.5,300,underground,polyurethane_foam,1983,yes
424.1,150,above_ground,foam_glass,2001,no
476.0,300,in_channel,polyurethane_foam,2022,no
203.2,150,underground,foam_glass,2009,no
356.4,200,in_channel,foam_glass,2001,no
122.8,300,above_ground,polyurethane_foam,2012,yes
323.5,200,in_channel,foam_glass,2011,no
129.4,100,above_ground,mineral_wool,2011,no
344.7,250,above_ground,foam_glass,2023,no
57.9,300,in_channel,polyurethane_foam,1986,no
371.4,150,above_ground,polyurethane_foam,1982,yes
468.5,200,underground,foam_glass,1990,yes
310.5,250,underground,mineral_wool,2017,yes
204.0,150,in_channel,polyurethane_foam,2015,no
495.7,100,underground,foam_glass,2017,no
333.9,150,in_channel,polyurethane_foam,2015,no
257.0,250,underground,mineral_wool,2000,no
254.4,200,underground,foam_glass,2010,yes
223.1,150,in_channel,mineral_wool,2000,yes
439.1,200,above_ground,mineral_wool,1998,yes
433.9,300,in_channel,foam_glass,1989,yes
183.9,300,above_ground,mineral_wool,1982,no
133.8,300,in_channel,polyurethane_foam,2007,no
231.8,200,in_channel,foam_glass,2019,no
56.3,300,above_ground,polyurethane_foam,2019,no
197.9,250,underground,polyurethane_foam,1987,yes
229.4,250,above_ground,polyurethane_foam,2009,no
142.6,100,underground,mineral_wool,1992,no
64.4,250,above_ground,mineral_wool,2023,no
449.8,300,above_ground,mineral_wool,2001,no
262.7,150,underground,polyurethane_foam,1989,yes
336.1,300,in_channel,polyurethane_foam,2015,no
57.2,250,above_ground,polyurethane_foam,1988,no
273.0,100,above_ground,mineral_wool,2007,yes
366.8,150,above_ground,polyurethane_foam,2021,no
494.8,250,in_channel,foam_glass,2000,no
138.8,300,underground,foam_glass,1990,no
54.8,150,above_ground,polyurethane_foam,2012,yes
269.7,200,above_ground,mineral_wool,1999,yes
162.2,100,in_channel,mineral_wool,2005,no
160.2,250,underground,polyurethane_foam,1998,yes
489.6,300,in_channel,mineral_wool,2018,no
428.6,250,in_channel,foam_glass,2005,no
90.9,100,underground,polyurethane_foam,1988,no
152.1,200,above_ground,polyurethane_foam,2009,no
98.4,150,underground,foam_glass,2009,yes
61.9,200,above_ground,mineral_wool,2004,no
